Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
15793074,"Best Kept Secret (The Clifton Chronicles, #3)",Jeffrey Archer,"Archer, Jeffrey",,"=""125000098X""","=""9781250000989""",4,St. Martin's Press,Hardcover,373,2013,2013,2017/01/01,2017/04/23,,,read,,,,1,0
17733898,"Hard Luck (Diary of a Wimpy Kid, #8)",Jeff Kinney,"Kinney, Jeff",,"=""1419711326""","=""9781419711329""",3,Harry N. Abrams,Hardcover,217,2013,2013,2017/01/01,2017/04/23,,,read,,,,1,0
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0061234001""","=""9780061234002""",3,William Morrow,Hardcover,268,2006,2005,2017/01/01,2017/04/23,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Ann Patchett, Téa Obreht","=""""","=""""",5,Plume,Paperback,129,2003,1945,2017/01/01,2017/04/23,,,read,,,,1,0
6578293,"Dog Days (Diary of a Wimpy Kid, #4)",Jeff Kinney,"Kinney, Jeff",,"=""0810983915""","=""9780810983915""",4,Amulet Books,Paperback,218,2009,2009,2017/01/01,2017/04/23,,,read,,,,1,0
7823678,"The Ugly Truth (Diary of a Wimpy Kid, #5)",Jeff Kinney,"Kinney, Jeff",,"=""0810984911""","=""9780810984912""",4,Amulet books,Hardcover,217,2010,2010,2017/01/01,2017/04/23,,,read,,,,1,0
11254250,"Cabin Fever (Diary of a Wimpy Kid, #6)",Jeff Kinney,"Kinney, Jeff",,"=""1419702238""","=""9781419702235""",4,Amulet Books,Hardcover,224,2011,2011,2017/01/01,2017/04/23,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",4,Crown Currency,Hardcover,195,2014,2014,2017/01/01,2017/04/23,,,read,,,,1,0
13563669,"The Third Wheel (Diary of a Wimpy Kid, #7)",Jeff Kinney,"Kinney, Jeff",,"=""1419705849""","=""9781419705847""",4,Amulet Books,Hardcover,224,2012,2012,2017/01/01,2017/04/23,,,read,,,,1,0
4865,How to Win Friends & Influence People,Dale Carnegie,"Carnegie, Dale",,"=""""","=""""",5,Gallery Books,Paperback,288,1998,1936,2017/01/01,2017/04/23,,,read,,,,1,0
4122,Built to Last: Successful Habits of Visionary Companies,Jim Collins,"Collins, Jim",Jerry I. Porras,"=""0060566108""","=""9780060566104""",3,Harper Business,Hardcover,368,2004,1994,,2017/04/23,,,read,,,,1,0
76865,Good to Great: Why Some Companies Make the Leap... and Others Don't,Jim Collins,"Collins, Jim",,"=""0066620996""","=""9780066620992""",3,Harper Business,Hardcover,300,2001,2001,,2017/04/23,,,read,,,,1,0
